Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,
Industrial Investment Trust Ltd,IITL,Asset Management,450.9960951,200.02,6.954450194,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT,NAHARCAP,IVC,IITL"
Munoth Capital Market Ltd,MUNCAPM,Asset Management,155.59285,169.75,-740.9183333,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT,NAHARCAP,IVC,IITL,MUNCAPM"
Pulsar International Ltd,PULSRIN,Asset Management,93.3911,14.39,51.88394444,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT,NAHARCAP,IVC,IITL,MUNCAPM,PULSRIN"
Blue Chip India Ltd,BLUECHIP,Asset Management,35.28416892,6.38,-12.001418,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT,NAHARCAP,IVC,IITL,MUNCAPM,PULSRIN,BLUECHIP"
Stanrose Mafatlal Investments and Finance Ltd,STANROS,Asset Management,33.9653952,85.6,-4.55911345,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT,NAHARCAP,IVC,IITL,MUNCAPM,PULSRIN,BLUECHIP,STANROS"
Nagreeka Capital & Infrastructure Ltd,NAGREEKCAP,Asset Management,33.8342346,26.82,2.538202146,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT,NAHARCAP,IVC,IITL,MUNCAPM,PULSRIN,BLUECHIP,STANROS,NAGREEKCAP"
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,418819.4727,6771.65,28.98169994,BAJFINANCE
Jio Financial Services Ltd,JIOFIN,Consumer Finance,208832.4513,328.7,130.1501675,"BAJFINANCE,JIOFIN"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Consumer Finance,116848.1414,1390.65,34.16552381,"BAJFINANCE,JIOFIN,CHOLAFIN"
Shriram Finance Ltd,SHRIRAMFIN,Consumer Finance,112375.2187,2989.25,15.25514822,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN"
Muthoot Finance Ltd,MUTHOOTFIN,Consumer Finance,74846.92052,1864.35,17.30856781,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN"
AU Small Finance Bank Ltd,AUBANK,Consumer Finance,47922.35034,644.75,31.22546806,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK"
Sundaram Finance Ltd,SUNDARMFIN,Consumer Finance,47692.3817,4328.2,33.21150241,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN"
L&T Finance Ltd,LTF,Consumer Finance,43996.0306,176.5,18.96298892,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,Consumer Finance,37828.79636,306.45,19.57313194,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN"
Poonawalla Fincorp Ltd,POONAWALLA,Consumer Finance,27763.92102,359.8,16.49913595,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA"
Five-Star Business Finance Ltd,FIVESTAR,Consumer Finance,22355.83847,764.4,26.74399281,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR"
CreditAccess Grameen Ltd,CREDITACC,Consumer Finance,21087.16452,1322.55,14.58380732,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC"
Aadhar Housing Finance Ltd,AADHARHFC,Consumer Finance,18754.01866,439.7,,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC"
Capri Global Capital Ltd,CGCL,Consumer Finance,18606.52107,225.55,66.5945636,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL"
Manappuram Finance Ltd,MANAPPURAM,Consumer Finance,18086.61729,213.68,8.263672466,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM"
Paisalo Digital Ltd,PAISALO,Consumer Finance,5997.137698,66.78,33.50917862,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO"
Spandana Sphoorty Financial Ltd,SPANDANA,Consumer Finance,4780.653379,670.45,9.548702472,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA"
Fusion Finance Ltd,FUSION,Consumer Finance,4410.530326,438.2,8.72871089,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION"
Repco Home Finance Ltd,REPCOHOME,Consumer Finance,3394.266695,542.55,8.153219224,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME"
IndoStar Capital Finance Ltd,INDOSTAR,Consumer Finance,3306.046472,242.95,28.53976582,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR"
Satin Creditcare Network Ltd,SATIN,Consumer Finance,2423.915963,220.38,5.560077905,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN"
Arman Financial Services Ltd,ARMANFIN,Consumer Finance,1864.891391,1779.7,10.74308077,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN"
Trucap Finance Ltd,TRU,Consumer Finance,555.9734085,47.56,50.77382726,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU"
SRG Housing Finance Ltd,SRGHFL,Consumer Finance,526.23,389.8,24.99904988,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL"
Comfort Intech Ltd,COMFINTE,Consumer Finance,506.7819187,15.84,29.39570294,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE"
Akme Fintrade India Ltd,AFIL,Consumer Finance,479.62428,112.39,25.89763931,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL"
Capital Trade Links Ltd,CTL,Consumer Finance,317.5352342,47.74,32.70187788,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL"
Purple Finance Ltd,PURPLEFIN,Consumer Finance,290.870197,86.53,-38.17194186,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN"
Standard Capital Markets Ltd,STANCAP,Consumer Finance,278.530483,1.61,26.00658105,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP"
Delphi World Money Ltd,DELPHIFX,Consumer Finance,259.3911159,233.1,17.06520499,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX"
Paul Merchants Ltd,PML,Consumer Finance,248.84796,806.9,4.555152114,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML"
Mangal Credit and Fincorp Ltd,MANCREDIT,Consumer Finance,244.7454649,125.1,23.22063234,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT"
Capital Trust Ltd,CAPTRUST,Consumer Finance,224.677245,138.54,104.5010442,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST"
Maha Rashtra Apex Corporation Ltd,MAHAPEXLTD,Consumer Finance,221.1863996,156.96,0.638510435,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD"
Indian Infotech and Software Ltd,INDINFO,Consumer Finance,193.8575438,1.53,113.3669847,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO"
Baid Finserv Ltd,BAIDFIN,Consumer Finance,192.5895532,16.04,14.90631217,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN"
Ascom Leasing & Investments Ltd,ASCOM,Consumer Finance,190.3554088,162.5,38.45563813,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN,ASCOM"
Transcorp International Ltd,TRANSCOR,Consumer Finance,126.2166178,39.62,2524.332357,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN,ASCOM,TRANSCOR"
WSFx Global Pay Ltd,WSFX,Consumer Finance,124.3824395,103.5,30.11681343,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN,ASCOM,TRANSCOR,WSFX"
Haryana Capfin Ltd,HARYNACAP,Consumer Finance,108.4707818,208.25,38.46481625,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN,ASCOM,TRANSCOR,WSFX,HARYNACAP"
Key Corp Ltd,KEYCORP,Consumer Finance,99.3,165.5,3.145391194,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN,ASCOM,TRANSCOR,WSFX,HARYNACAP,KEYCORP"
Sakthi Finance Ltd,SAKTHIFIN,Consumer Finance,94.5,60.99,6.01910828,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN,ASCOM,TRANSCOR,WSFX,HARYNACAP,KEYCORP,SAKTHIFIN"
F Mec International Financial Services Ltd,FMEC,Consumer Finance,88.87322116,99.95,113.9400271,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN,ASCOM,TRANSCOR,WSFX,HARYNACAP,KEYCORP,SAKTHIFIN,FMEC"
Ceejay Finance Ltd,CEEJAY,Consumer Finance,83.43825,241.85,12.69988584,"BAJFINANCE,JIOFIN,CHOLAFIN,SHRIRAMFIN,MUTHOOTFIN,AUBANK,SUNDARMFIN,LTF,M&MFIN,POONAWALLA,FIVESTAR,CREDITACC,AADHARHFC,CGCL,MANAPPURAM,PAISALO,SPANDANA,FUSION,REPCOHOME,INDOSTAR,SATIN,ARMANFIN,TRU,SRGHFL,COMFINTE,AFIL,CTL,PURPLEFIN,STANCAP,DELPHIFX,PML,MANCREDIT,CAPTRUST,MAHAPEXLTD,INDINFO,BAIDFIN,ASCOM,TRANSCOR,WSFX,HARYNACAP,KEYCORP,SAKTHIFIN,FMEC,CEEJAY"
